Filename,Extracted Values
X8XUG1JD,"{""Current Assets"": ""312"", ""Creditors: amounts falling due within one year"": ""-59"", ""Net current assets (liabilities)"": ""253"", ""Total assets less current liabilities"": ""253"", ""Total net assets (liabilities)"": ""253"", ""Capital and reserves"": ""253""}"
X8XX0C57,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XX02AX,"{""Net assets"": ""0"", ""Issued share capital"": ""nan"", ""1 Ordinary Share 0 of &#163 each"": ""0"", ""Total Shareholder funds"": ""0""}"
X8XX0ANN,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XX0BU1,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Issued share capital"": ""nan"", ""100 Ordinary Shares 1 of &#163 each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XX0CEA,"{""Current Assets"": ""384"", ""Creditors: amounts falling due within one year"": ""-225"", ""Net current assets (liabilities)"": ""159"", ""Total assets less current liabilities"": ""159"", ""Total net assets (liabilities)"": ""159"", ""Capital and reserves"": ""159""}"
X8XX00J6,"{""Called up share capital not paid"": ""-"", ""Fixed Assets"": ""516"", ""Current Assets"": ""-"", ""Prepayments and accrued income"": ""-"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""0""}"
X8XX00LL,"{""Current Assets"": ""23349"", ""Creditors: amounts falling due within one year"": ""-118053"", ""Net current assets (liabilities)"": ""-94704"", ""Total assets less current liabilities"": ""-94704"", ""Total net assets (liabilities)"": ""-94704"", ""Capital and reserves"": ""-94704""}"
X8XX00MX,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""nan"", ""Net assets"": ""nan"", ""Issued share capital"": ""nan"", ""1 Ordinary Share 1 of &#163 each"": ""nan"", ""Total Shareholder funds"": ""nan""}"
X8XX000W,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1000"", ""Net assets"": ""1000"", ""Issued share capital"": ""nan"", ""1000 Ordinary Shares 1 of &#163 each"": ""1000"", ""Total Shareholder funds"": ""1000""}"
X8XX00YW,"{""Called up share capital not paid"": ""1000"", ""Current Assets"": ""4240"", ""Creditors: amounts falling due within one year"": ""-3082"", ""Net current assets (liabilities)"": ""1158"", ""Total assets less current liabilities"": ""2158"", ""Total net assets (liabilities)"": ""2158""}"
X8XX01EH,"{""Called up share capital not paid"": ""-"", ""Fixed Assets"": ""1"", ""Current Assets"": ""254"", ""Prepayments and accrued income"": ""-"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""254""}"
X8XX01EP,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""2"", ""Net assets"": ""2"", ""Issued share capital"": ""nan"", ""2"": ""Ordinay"", ""Total Shareholder funds"": ""2""}"
X8XX01IX,"{""Called up share capital not paid"": ""1"", ""Fixed Assets"": ""18812"", ""Current Assets"": ""87198"", ""Creditors: amounts falling due within one year"": ""-151460"", ""Net current assets (liabilities)"": ""-64262"", ""Total assets less current liabilities"": ""-45449""}"
X8XX01SZ,"{""Called up share capital not paid"": ""nan"", ""Net assets"": ""nan"", ""Tssued share capital"": ""nan"", ""2 Ordinary Shares 1 of &#163 each"": ""nan"", ""Total Shareholder funds"": ""nan""}"
X8XX01TN,"{""Called up share capital not paid"": ""2"", ""Net assets"": ""2"", ""Tssued share capital"": ""nan"", ""2 Ordinary Shares 1 of &#163 each"": ""2"", ""Total Shareholder funds"": ""2""}"
